Country Name,Country Code,Indicator Name,Indicator Code,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,Land area (sq. km),AG.LND.TOTL.K2,,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
Africa Eastern and Southern,AFE,Land area (sq. km),AG.LND.TOTL.K2,,14571611,14571611,14571611,14571611,14720190.92,14720236.09,14720228.25,14720274.67,14720236.89,14720269.28,14720957.06,14721207.05,14845137.14,14845099.33,14845052.47,14845106.13
Afghanistan,AFG,Land area (sq. km),AG.LND.TOTL.K2,,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230
Africa Western and Central,AFW,Land area (sq. km),AG.LND.TOTL.K2,,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780
Angola,AGO,Land area (sq. km),AG.LND.TOTL.K2,,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700
Albania,ALB,Land area (sq. km),AG.LND.TOTL.K2,,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400
Andorra,AND,Land area (sq. km),AG.LND.TOTL.K2,,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470
Arab World,ARB,Land area (sq. km),AG.LND.TOTL.K2,,13611431,13611431,13611431,13611251,13611241,13611251,13611311,13611331,13611341,13608831,13608823,13608828,13100831,13100639,13100520,13100528
United Arab Emirates,ARE,Land area (sq. km),AG.LND.TOTL.K2,,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020
Argentina,ARG,Land area (sq. km),AG.LND.TOTL.K2,,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690
